City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,al balyana,26.2357,32.0035,43.12,5,0,0.64,EG,1718290926
272,fukuecho,32.6881,128.8419,22.36,83,100,0.57,JP,1718290926
273,mount pearl,47.5166,-52.7813,16.75,85,75,13.38,CA,1718290926
274,rikaze,29.25,88.8833,17.25,40,3,2.98,CN,1718290926
275,kitui,-1.367,38.0106,22.65,55,5,2.11,KE,1718290926
276,poronaysk,49.2167,143.1167,7.24,94,92,1.79,RU,1718290926
277,san onofre,9.7359,-75.5263,29.7,74,99,1.88,CO,1718290926
278,mananjary,-21.2167,48.3333,22.19,89,18,3.62,MG,1718290926
279,banfora,10.6333,-4.7667,32.66,48,91,1.52,BF,1718290927
280,pollock pines,38.7613,-120.5866,21.53,60,0,0.0,US,1718290707
281,cockburn town,21.4612,-71.1419,27.71,86,100,6.36,TC,1718290927
282,wellington,-41.2866,174.7756,11.04,76,20,0.51,NZ,1718290811
283,melfi,40.9965,15.6514,27.31,29,2,7.09,IT,1718290927
284,kimberley,-28.7323,24.7623,21.83,46,0,1.03,ZA,1718290927
285,kolonia town,6.964,158.206,28.62,74,89,3.25,FM,1718290927
286,san fernando,15.0286,120.6898,28.85,84,87,0.54,PH,1718290822
287,puerto baquerizo moreno,-0.9,-89.6,23.55,78,20,5.14,EC,1718290637
288,petropavlovka,50.6114,105.3196,13.48,69,16,2.21,RU,1718290928
289,garissa,-0.4536,39.6401,32.24,34,14,7.74,KE,1718290928
290,yanam,16.7333,82.2167,28.73,75,51,0.79,IN,1718290928
291,santo antonio do ica,-3.1022,-67.9397,30.21,67,68,1.13,BR,1718290928
292,broken hill,-31.95,141.4333,12.39,57,100,2.69,AU,1718290928
293,port alfred,-33.5906,26.891,17.88,70,0,1.89,ZA,1718290928
294,san agustin de valle fertil,-30.6335,-67.4682,28.62,6,66,22.66,AR,1718290928
295,saipan,15.1355,145.701,29.18,76,24,8.33,MP,1718290928
296,prieska,-29.6641,22.7474,19.79,24,0,1.34,ZA,1718290928
297,kyshtovka,56.555,76.6271,22.41,79,39,1.79,RU,1718290928
298,kone,-21.0595,164.8658,20.23,60,67,3.27,NC,1718290928
299,almus,40.3758,36.9044,32.16,53,9,1.69,TR,1718290929
300,sevenoaks,51.27,0.1928,16.12,49,20,7.2,GB,1718290809
301,bambari,5.768,20.6757,30.39,57,54,2.15,CF,1718290929
302,inhambane,-23.865,35.3833,21.21,60,0,5.16,MZ,1718290929
303,rio grande,-32.035,-52.0986,24.97,74,100,5.07,BR,1718290929
304,egilsstadir,65.2653,-14.3948,10.95,58,75,9.26,IS,1718290929
305,al bawiti,28.3492,28.8659,41.44,8,0,7.4,EG,1718290929
306,tocopilla,-22.092,-70.1979,19.69,73,29,2.37,CL,1718290929
307,zagazig,30.5877,31.502,40.29,14,0,7.43,EG,1718290929
308,torghay,49.6339,63.4981,26.93,55,58,5.05,KZ,1718290930
309,okehampton,50.7384,-4.0016,11.81,95,100,11.28,GB,1718290930
310,tharangambadi,11.0319,79.8528,28.94,78,100,6.34,IN,1718290930
311,tangalle,6.024,80.7911,28.09,88,100,4.81,LK,1718290930
312,broome,42.2506,-75.833,26.92,62,0,3.6,US,1718290930
313,chishtian,29.8,72.8667,40.94,16,0,5.16,PK,1718290930
314,khark,29.2614,50.3306,38.01,30,0,4.12,IR,1718290930
315,qui nhon,13.7667,109.2333,28.57,78,68,2.51,VN,1718290903
316,trairi,-3.2778,-39.2689,29.39,63,47,5.17,BR,1718290694
317,eyl,7.9803,49.8164,28.53,62,13,10.0,SO,1718290930
318,horta,38.5333,-28.6333,23.8,83,75,5.66,PT,1718290931
319,kotlas,61.2611,46.6556,21.0,95,83,5.16,RU,1718290931
320,rondonopolis,-16.4708,-54.6356,32.69,26,1,5.19,BR,1718290667
321,parfino,57.9731,31.6481,20.17,46,100,1.81,RU,1718290931
322,bikenibeu village,1.3673,173.1241,27.98,83,20,3.6,KI,1718290931
323,hadibu,12.65,54.0333,30.41,60,41,5.56,YE,1718290929
324,vorgashor,67.5833,63.95,7.67,100,100,0.89,RU,1718290931
325,nidzica,53.3605,20.4275,15.77,63,100,4.11,PL,1718290931
326,walvis bay,-22.9575,14.5053,31.53,19,0,4.12,NA,1718290931
327,barra dos coqueiros,-10.9089,-37.0386,24.01,94,100,4.63,BR,1718290932
328,brooks,50.5834,-111.8851,14.99,61,70,2.57,CA,1718290901
329,valdivia,-39.8142,-73.2459,10.05,90,100,2.85,CL,1718290885
330,pemba,-12.974,40.5178,27.39,69,40,5.81,MZ,1718290932
331,lons-le-saunier,46.75,5.75,19.91,40,37,3.74,FR,1718290932
332,port shepstone,-30.7414,30.455,19.51,69,7,2.39,ZA,1718290932
333,xilin hot,43.9667,116.0333,15.33,52,5,3.1,CN,1718290932
334,betio village,1.358,172.9211,28.02,74,94,5.77,KI,1718290932
335,minas de marcona,-15.2119,-75.1103,16.0,60,14,2.32,PE,1718290932
336,el calafate,-50.3408,-72.2768,-0.79,70,96,2.09,AR,1718290641
337,san antonio de pale,-1.4014,5.6325,25.45,84,98,4.93,GQ,1718290933
338,gwadar,25.1216,62.3254,29.06,83,0,4.26,PK,1718290933
339,gornozavodsk,58.3758,58.3211,24.28,62,68,3.34,RU,1718290933
340,machilipatnam,16.1667,81.1333,32.52,60,90,4.08,IN,1718290933
341,trincomalee,8.5711,81.2335,28.72,74,95,7.78,LK,1718290933
342,astorga,-23.2325,-51.6656,24.13,28,0,7.03,BR,1718290816
343,rockport,28.0206,-97.0544,32.79,78,100,2.06,US,1718290683
344,angaur state,6.906,134.13,28.72,74,100,3.01,PW,1718290933
345,hundested,55.9667,11.8667,16.16,67,33,6.83,DK,1718290933
346,burutu,5.3509,5.5076,29.77,67,74,4.9,NG,1718290933
347,port saint john's,-31.6229,29.5448,18.46,68,2,2.1,ZA,1718290933
348,yenotayevka,47.2456,47.0281,24.33,65,100,3.06,RU,1718290934
349,haiku-pauwela,20.9219,-156.3051,21.81,80,13,4.02,US,1718290934
350,solleftea,63.1667,17.2667,16.92,43,89,3.3,SE,1718290934
351,taltal,-25.4,-70.4833,15.62,71,48,0.34,CL,1718290821
352,la seu d'urgell,42.3588,1.4614,24.85,41,20,4.12,ES,1718290934
353,porto novo,6.4965,2.6036,30.9,64,69,4.69,BJ,1718290934
354,dwarka,22.2394,68.9678,29.93,79,0,5.9,IN,1718290934
355,lewiston orchards,46.3804,-116.9754,19.03,47,0,1.54,US,1718290934
356,kruisfontein,-34.0033,24.7314,18.27,73,3,2.33,ZA,1718290849
357,chadron,42.8294,-102.9999,21.86,41,0,6.69,US,1718290934
358,howrah,22.5892,88.3103,32.0,84,40,5.66,IN,1718290935
359,nijar,36.9665,-2.206,22.8,69,20,4.63,ES,1718290935
360,kangding,30.0513,101.9603,15.43,99,100,1.74,CN,1718290830
361,lorengau,-2.0226,147.2712,26.2,84,99,0.68,PG,1718290871
362,katsuura,35.1333,140.3,20.67,85,1,3.55,JP,1718290935
363,daru,-9.0763,143.2092,24.63,85,100,5.78,PG,1718290935
364,strezhevoy,60.7333,77.5889,25.54,44,94,4.47,RU,1718290935
